"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","171","3.320","38.6","26.3","15.8","8.8","5.3","1.8","2.3","1.2",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","76","3.160","15.8","25.0","36.8","10.5","5.3","1.3",".","1.3",".",".",".",".",".",".","3.9","."
"Environmental Physical Systems","127","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","85","3.569","54.1","12.9","18.8","4.7","2.4","1.2",".",".",".",".",".",".",".",".","5.9","."
"Digital Globe:GIScience & Tech","170","001","255","3.705","67.5","16.5","8.6","2.4","2.4","0.8","0.4",".",".",".",".",".",".",".","1.6","."
"Topics in Geography","175","001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Weird Geographies","300","001","27","4.000","85.2",".",".",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","87","3.868","85.1","8.0","4.6",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","21","3.476","19.0","66.7","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","11","3.227","27.3","9.1","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","34","3.956","94.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","29","3.483","37.9","34.5","24.1",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"World Regions in Global Contxt","340","001","300","3.480","50.3","15.0","18.7","3.0","2.3","1.7","2.0","4.3",".",".",".",".","0.7",".","2.0","."
"Caring for Native Nature","345","001","14","3.650","35.7","21.4","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","370","001","41","3.500","31.7","36.6","24.4",".","2.4",".",".",".",".",".",".",".","2.4","2.4",".","."
"","370","070","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","","Course Total","51","3.520","43.1","29.4","19.6",".","2.0",".","2.0",".",".",".",".",".","2.0","2.0",".","."
"","377","001","51","3.000","17.6","9.8","52.9","5.9","9.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"","377","070","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","55","3.073","23.6","9.1","49.1","5.5","9.1","1.8","1.8",".",".",".",".",".",".",".",".","."
"","378","001","42","3.476","52.4","21.4","9.5","9.5",".","2.4","2.4","2.4",".",".",".",".",".",".",".","."
"","378","070","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","","Course Total","58","3.561","55.2","24.1","8.6","6.9",".","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","20","3.775","75.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","15","3.714","66.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","6.7","."
"Topics in Geography","475","002","7","3.800","42.9","28.6",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Feminist Geography Theory","504","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Autotheories","515","001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Dev and Env in Southeast Asia","557","001","10","3.350","30.0","40.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","572","001","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","572","070","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","","Course Total","30","3.883","86.7","3.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","574","001","38","3.776","81.6","5.3","5.3","2.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"","574","070","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Database","","Course Total","44","3.807","84.1","4.5","4.5","2.3","4.5",".",".",".",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","575","070","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Web/Mobile Programming","576","070","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","579","001","40","3.488","50.0","20.0","17.5","7.5","2.5","2.5",".",".",".",".",".",".",".",".",".","."
