"L&S","","","","","","","","","","","","","","","","","","",""
"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Jewish Law, Business, Ethics","203
001","38","3.392","26.3","36.8","26.3","2.6","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"Jews and Race","225
001","67","3.590","50.7","25.4","19.4","3.0",".","1.5",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Yiddish Lit & Culture, Europe","269
001","19","3.921","94.7",".",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Jewish Literature","318
001","13","3.538","53.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"King David","335
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Topics in Jewish Lit","430
002","56","3.906","87.5","1.8","1.8","1.8","1.8",".",".","3.6",".",".",".",".","1.8",".",".","."
"Int Topics: Jewish Philos&Arts","432
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Anti-Semitism-European Culture","518
001","8","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"510
JEWISH","Dept. Total","218","3.685","60.6","17.4","12.8","2.3","1.8","0.5",".","4.1",".",".",".",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","3.393","35.7","26.8","26.8","5.4","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Sophomore","","67","3.739","67.2","17.9","11.9","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"Junior","","48","3.840","79.2","10.4","6.3",".","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"Senior","","38","3.829","76.3","15.8","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","209","3.685","63.2","18.2","13.4","2.4","1.9","0.5",".",".",".",".",".",".","0.5",".",".","."
"Special","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","218","3.685","60.6","17.4","12.8","2.3","1.8","0.5",".","4.1",".",".",".",".","0.5",".",".","."
