"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","",""
"","990
038","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","35","",".",".",".",".",".",".","",".","25.7","",".",".","",".","74.3",".",".",".","."
"620
M M & I","Dept. Total","259","3.573","50.2","17.4","11.2","1.2","3.9","1.2","",".","3.9","",".",".","",".","10.8","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","19","3.221","52.6","5.3","15.8",".","26.3",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","80","3.396","52.5","7.5","23.8","3.8","6.3","3.8","",".",".","",".",".","",".","2.5",".",".",".","."
"Undergraduates","","100","3.365","52.0","8.0","22.0","3.0","10.0","3.0","",".",".","",".",".","",".","2.0",".",".",".","."
"Graduate","","71","3.745","36.6","15.5","4.2",".",".",".","",".","11.3","",".",".","",".","31.0","1.4",".",".","."
"Prof Yr 1","","77","3.759","62.3","32.5","5.2",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","8","4.000","25.0",".",".",".",".",".","",".","25.0","",".",".","",".","50.0",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","88","3.764","59.1","29.5","4.5",".",".",".","",".","2.3","",".",".","",".","4.5",".",".",".","."
"","Dept. Total","259","3.573","50.2","17.4","11.2","1.2","3.9","1.2","",".","3.9","",".",".","",".","10.8","0.4",".",".","."
