"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","26","3.840","84.6","7.7",".",".",".","3.8",".",".",".",".",".",".","3.8",".",".","."
"","203
001","121","3.496","49.6","23.1","16.5","6.6","1.7","0.8","1.7",".",".",".",".",".",".",".",".","."
"","203
002","67","3.321","34.3","23.9","19.4","16.4","6.0",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","Course Total","188","3.434","44.1","23.4","17.6","10.1","3.2","0.5","1.1",".",".",".",".",".",".",".",".","."
"","204
001","28","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","44","3.698","54.5","31.8","6.8","4.5",".",".",".","2.3",".",".",".",".",".",".",".","."
"Data Science & Engineering","Course Total","72","3.704","52.8","36.1","6.9","2.8",".",".",".","1.4",".",".",".",".",".",".",".","."
"","210
001","96","3.938","96.9","1.0",".","1.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"","210
002","92","3.984","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","188","3.960","96.8","2.1",".","0.5",".",".","0.5",".",".",".",".",".",".",".",".","."
"","222
001","65","3.423","36.9","27.7","20.0","13.8","1.5",".",".",".",".",".",".",".",".",".",".","."
"","222
002","89","3.039","18.0","20.2","33.7","14.6","11.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","154","3.201","26.0","23.4","27.9","14.3","7.1","0.6","0.6",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","92","3.005","30.4","19.6","12.0","14.1","17.4","1.1","4.3",".",".",".",".",".","1.1",".",".","."
"Intro-Solid State Electronics","235
001","59","3.873","78.0","18.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","252
001","126","3.500","50.0","25.4","11.1","6.3","5.6","0.8","0.8",".",".",".",".",".",".",".",".","."
"","252
006","86","3.326","44.2","22.1","11.6","8.1","10.5","2.3","1.2",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","212","3.429","47.6","24.1","11.3","7.1","7.5","1.4","0.9",".",".",".",".",".",".",".",".","."
"","270
001","55","3.582","45.5","34.5","12.7","5.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"","270
002","50","3.570","50.0","26.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","105","3.576","47.6","30.5","12.4","8.6","1.0",".",".",".",".",".",".",".",".",".",".","."
"","271
001","52","3.856","86.5","3.8","3.8","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","28","3.857","82.1","14.3",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","80","3.856","85.0","7.5","2.5","3.8","1.3",".",".",".",".",".",".",".",".",".",".","."
"","303
001","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","34","3.779","64.7","26.5","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
006","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","82","3.982","97.6","1.2","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
