"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag
103","002","","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","71","3.592","57.7","25.4","9.9",".","4.2","1.4","1.4",".",".",".",".",".",".",".",".","."
"201","002","","70","3.764","55.7","41.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","003","","69","3.638","56.5","30.4","8.7","1.4",".","1.4","1.4",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","Course Total","","210","3.664","56.7","32.4","7.1","0.5","1.4","1.0","1.0",".",".",".",".",".",".",".",".","."
"Introduction to Global Health
203","001","","82","3.896","81.7","15.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health
205","001","","325","3.944","93.8","3.1","2.2",".","0.3",".","0.3",".",".",".",".",".",".","0.3",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology
302","001","","28","3.429","53.6","17.9","7.1","10.7","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Principles-Econ Entomology
351","001","","24","3.250","41.7","8.3","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"375","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","15","3.821","80.0",".","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"375","003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","52","3.927","92.3","1.9","1.9","1.9",".",".",".","1.9",".",".",".",".",".",".",".","."
"Biodiversity and Global Change
490","001","","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Taxonomy
701","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium
801","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Evolution
820","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Organismal Entomol
901","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","23","",".",".",".",".",".",".",".","60.9",".",".",".","39.1",".",".",".","."
