"","990
086","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
090","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
093","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","61","",".",".",".",".",".",".",".","96.7","",".",".","",".","3.3",".",".",".","."
"970
ZOOLOGY","Dept. Total","1906","3.264","48.6","11.6","16.7","4.7","9.1","3.0","1.0","3.5","",".",".","",".","0.9","0.3","0.1","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","82","2.914","35.4","9.8","22.0","6.1","13.4","8.5","3.7",".","",".",".","",".",".",".","1.2",".","."
"Sophomore","","290","2.970","28.6","12.8","24.1","9.7","15.9","6.2","1.7",".","",".",".","",".",".","1.0",".",".","."
"Junior","","497","3.261","41.9","16.3","22.1","4.4","11.5","2.8","0.8",".","",".",".","",".",".","0.2",".",".","."
"Senior","","866","3.424","61.8","10.3","13.0","3.9","6.4","1.7","0.8",".","",".",".","",".","1.7","0.1",".","0.2","."
"Undergraduates","","1735","3.254","49.3","12.4","17.9","5.1","9.7","3.1","1.1",".","",".",".","",".","0.9","0.3","0.1","0.1","."
"Special","","32","2.900","28.1","9.4","6.3",".","15.6","9.4","3.1","3.1","",".",".","",".",".",".",".","25.0","."
"Graduate","","139","3.838","45.3","2.9","3.6",".",".",".",".","46.8","",".",".","",".","1.4",".",".",".","."
"","Dept. Total","1906","3.264","48.6","11.6","16.7","4.7","9.1","3.0","1.0","3.5","",".",".","",".","0.9","0.3","0.1","0.5","."
