"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","102
001","45","3.811","82.2","11.1","2.2",".","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","102
002","33","3.727","84.8",".","6.1","6.1",".",".","3.0",".",".",".",".",".",".",".",".","."
"Introduction to Computing","Course Total","78","3.776","83.3","6.4","3.8","2.6","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"","200
001","174","3.572","54.6","23.0","16.1","1.7","2.3","1.1","1.1",".",".",".",".",".",".",".",".","."
"","200
002","107","3.462","52.3","19.6","10.3","9.3","2.8","1.9","1.9",".",".",".",".",".",".","0.9","0.9","."
"","200
003","173","3.604","64.7","12.1","16.2","2.3","1.7","1.2","1.7",".",".",".",".",".",".",".",".","."
"","200
004","175","3.537","57.1","14.3","18.9","4.0","4.0","0.6","1.1",".",".",".",".",".",".",".",".","."
"Programming I","Course Total","629","3.553","57.7","17.0","15.9","3.8","2.7","1.1","1.4",".",".",".",".",".",".","0.2","0.2","."
"","220
001","243","3.409","34.2","38.3","18.9","2.5","2.5","2.5","1.2",".",".",".",".",".",".",".",".","."
"","220
002","245","3.424","37.1","32.2","20.4","4.9","2.0","2.0","0.8","0.4",".",".",".",".",".",".",".","."
"","220
003","248","3.534","39.1","36.7","20.6","1.6","1.2","0.4","0.4",".",".",".",".",".",".",".",".","."
"","220
004","245","3.435","35.1","38.0","18.0","4.9","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Data Sci Programming I","Course Total","981","3.451","36.4","36.3","19.5","3.5","1.9","1.2","1.1","0.1",".",".",".",".",".",".",".","."
"","240
001","199","3.162","25.6","19.1","28.1","19.1","6.0","1.0","0.5",".",".",".",".",".","0.5",".",".","."
"","240
002","199","3.191","22.6","18.6","42.7","9.5","5.5","0.5","0.5",".",".",".",".",".",".",".",".","."
"","240
003","95","3.105","23.2","17.9","25.3","24.2","9.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","493","3.163","23.9","18.7","33.5","16.2","6.5","0.6","0.4",".",".",".",".",".","0.2",".",".","."
"","252
002","168","3.174","40.5","17.3","11.9","11.3","13.7","1.8","3.0",".",".",".",".",".","0.6",".",".","."
"","252
004","121","3.290","41.3","19.8","17.4","7.4","8.3","1.7","2.5",".",".",".",".",".","1.7",".",".","."
"","252
005","121","3.533","54.5","14.9","22.3","0.8","6.6","0.8",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","410","3.314","44.9","17.3","16.6","7.1","10.0","1.5","2.0",".",".",".",".",".","0.7",".",".","."
"Introduction to Web Dev","272
001","41","3.487","61.0","17.1","4.9","2.4",".","7.3","2.4","2.4",".",".",".",".",".","2.4",".","."
"","298
128","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
167","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
185","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","216","3.306","29.6","29.2","26.4","7.4","3.7","1.9","0.9",".",".",".",".",".","0.9",".",".","."
"","300
002","207","3.300","37.2","30.9","14.5","6.3","2.9","4.8","2.4",".",".",".",".",".","0.5","0.5",".","."
"","300
003","202","3.215","26.2","27.2","29.7","6.9","5.4","4.0","0.5",".",".",".",".",".",".",".",".","."
"","300
004","203","3.367","37.4","24.1","26.1","6.9","1.5","3.9",".",".",".",".",".",".",".",".",".","."
"Programming II","Course Total","828","3.297","32.6","27.9","24.2","6.9","3.4","3.6","1.0",".",".",".",".",".","0.4","0.1",".","."
"","304
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","16","3.531","75.0","6.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","319
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
002","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
003","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
004","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Sci Prgmg I - Research","Course Total","30","3.750","56.7","36.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","232","3.735","69.4","18.5","8.2","1.7","0.9","0.4","0.9",".",".",".",".",".",".",".",".","."
"","320
002","230","3.711","70.0","16.5","8.7","1.3","1.3","1.3","0.9",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 226 of 478",""
