"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","277","3.126","23.5","22.0","23.8","19.9","9.7","1.1",".",".",".",".",".",".",".",".",".","."
"","103
002","239","3.065","17.2","24.7","29.3","15.1","13.0",".","0.8",".",".",".",".",".",".",".",".","."
"","103
003","165","3.055","18.2","27.9","21.2","15.8","15.2","1.8",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","681","3.087","20.0","24.4","25.1","17.2","12.2","0.9","0.3",".",".",".",".",".",".",".",".","."
"","104
001","215","3.286","37.7","19.5","16.3","16.7","7.0","1.9",".","0.5",".",".",".",".","0.5",".",".","."
"","104
002","137","3.190","29.9","16.8","19.7","23.4","8.0",".",".",".",".",".",".",".","2.2",".",".","."
"General Physics","Course Total","352","3.249","34.7","18.5","17.6","19.3","7.4","1.1",".","0.3",".",".",".",".","1.1",".",".","."
"Physics of Sports","106
001","158","3.589","62.0","15.8","10.1","5.7","4.4","1.9",".",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","94","3.941","91.5","5.3","1.1",".","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"","109
001","165","3.686","61.2","23.0","10.3","3.0","1.2",".","0.6",".",".",".",".",".",".",".",".","0.6"
"","109
002","77","3.799","74.0","15.6","6.5","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","242","3.722","65.3","20.7","9.1","3.3","0.8",".","0.4",".",".",".",".",".",".",".",".","0.4"
"Energy and Climate","115
001","27","3.741","59.3","29.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Physics","201
002","149","2.772","16.1","10.7","23.5","18.8","23.5","3.4","1.3",".",".",".",".",".","2.0",".",".","0.7"
"","202
001","263","2.966","9.9","21.3","38.4","17.5","11.4","0.8","0.8",".",".",".",".",".",".",".",".","."
"","202
002","269","3.078","13.4","23.0","40.5","11.9","11.2",".",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","532","3.023","11.7","22.2","39.5","14.7","11.3","0.4","0.4",".",".",".",".",".",".",".",".","."
"","207
001","158","3.082","20.9","20.3","29.7","19.0","7.0","3.2",".",".",".",".",".",".",".",".",".","."
"","207
002","124","2.983","17.7","17.7","32.3","16.1","8.1","4.8","0.8",".",".",".",".",".","2.4",".",".","."
"General Physics","Course Total","282","3.039","19.5","19.1","30.9","17.7","7.4","3.9","0.4",".",".",".",".",".","1.1",".",".","."
"General Physics","208
002","174","3.000","19.0","20.7","27.0","19.5","9.2","3.4","1.1",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","7","3.833","71.4",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","50","3.760","80.0","8.0","6.0","4.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","71","3.613","54.9","18.3","22.5","2.8","1.4",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","22","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","33","3.424","36.4","27.3","21.2","15.2",".",".",".",".",".",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
175","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","307
001","11","3.500","27.3","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","9.1"
"","307
002","18","3.361","11.1","61.1","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","29","3.411","17.2","55.2","13.8","10.3",".",".",".",".",".",".",".",".",".",".",".","3.4"
"Mechanics","311
001","77","3.467","48.1","13.0","24.7","9.1","3.9",".",".",".",".",".",".",".",".","1.3",".","."
"Elect Circuits & Electronic","321
001","40","3.436","30.0","37.5","22.5","2.5","5.0",".",".",".",".",".",".",".","2.5",".",".","."
"Electromagnetic Fields","322
001","62","3.393","33.9","22.6","35.5",".","6.5",".",".","1.6",".",".",".",".",".",".",".","."
"","406
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","11","3.946","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Special Topics in Physics","Course Total","26","3.918","84.6","7.7","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","407
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
