"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","423","3.910","90.3","5.4","2.1","1.2","0.7",".","0.2",".",".",".",".",".",".",".",".","."
"","132","002","424","3.895","88.0","7.1","2.8","0.2","0.7","0.5","0.2","0.2",".",".",".",".","0.2",".",".","."
"Nutrition Today","","Course Total","847","3.902","89.1","6.3","2.5","0.7","0.7","0.2","0.2","0.1",".",".",".",".","0.1",".",".","."
"Prof-Dietetics & Nutrition","200","001","21","3.925","85.7","4.8","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Introduction to Global Health","203","001","369","3.849","76.4","16.8","6.2","0.3",".",".",".",".",".",".",".",".","0.3",".",".","."
"","299","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","073","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","85","2.929","21.2","17.6","23.5","10.6","21.2","3.5","1.2",".",".",".",".",".","1.2",".",".","."
"Global Health Field Experience","421","002","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","33","3.576","57.6","18.2","9.1","12.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Seminar in Nutrition","600","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Precision Nutrition","618","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition I","631","001","49","3.188","16.3","26.5","34.7","18.4","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"App Clinical Nutrition I","641","001","48","3.766","60.4","31.3","4.2","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"Mol Ctrl of Mtblsm & Mtblc Dis","645","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650","001","31","3.387","29.0","29.0","32.3","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"","670","001","12","3.500","8.3","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","670","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","","Course Total","16","3.438","6.3","81.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Energy Metabolism","710","002","32","3.859","78.1","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers Nutr-Genomics & Genetics","711","001","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Community Nutrition","725","001","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutritional Mgmt GI Disorders","726","002","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","799","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","001","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 34 of 478"
