"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"MARKETNG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","285","3.380","29.5","40.0","16.5","9.8","2.8","0.7","0.7",".","",".",".","",".",".",".",".",".","."
"Junior","","656","3.400","35.7","34.6","17.8","5.8","3.7","1.1","1.4",".","",".",".","",".",".",".",".",".","."
"Senior","","799","3.572","47.4","32.7","11.4","5.4","2.1","0.6","0.1","0.1","",".",".","",".",".","0.1",".",".","."
"Undergraduates","","1744","3.471","40.0","34.5","14.6","6.3","2.9","0.9","0.7","0.1","",".",".","",".",".","0.1",".",".","."
"Special","","57","3.277","24.6","31.6","22.8","12.3","7.0",".",".","1.8","",".",".","",".",".",".",".",".","."
"Graduate","","417","3.662","51.1","32.1","14.6",".","0.5",".",".","1.4","",".",".","",".","0.2",".",".",".","."
"","Dept. Total","2218","3.494","41.7","34.0","14.8","5.2","2.5","0.7","0.6","0.4","",".",".","",".","0.0","0.0",".",".","."
