"TERM : 1252","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2024-2025","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"SCANDINAVIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","Dept. Total","142","3.770","64.8","9.9","9.2","2.1","0.7","",".","",".","11.3","",".",".","",".","",".","1.4",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.643","66.7",".","33.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","25","3.759","68.0","20.0","12.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","24","3.861","75.0","16.7","4.2",".",".","",".","",".",".","",".",".","",".","",".","4.2",".",".","."
"Senior","","31","3.551","61.3","9.7","16.1","9.7","3.2","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","92","3.703","67.4","13.0","14.1","3.3","1.1","",".","",".",".","",".",".","",".","",".","1.1",".",".","."
"Special","","11","4.000","18.2",".",".",".",".","",".","",".","72.7","",".",".","",".","",".",".",".","9.1","."
"Graduate","","39","3.964","71.8","5.1",".",".",".","",".","",".","20.5","",".",".","",".","",".","2.6",".",".","."
"","Dept. Total","142","3.770","64.8","9.9","9.2","2.1","0.7","",".","",".","11.3","",".",".","",".","",".","1.4",".","0.7","."
