"PHM","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","Dept. Total","1668","3.737","70.2","13.2","9.1","4.6","2.3","0.5","0.1","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","2.500","6.3","6.3","25.0","31.3","18.8","12.5",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","27","2.815","14.8","14.8","25.9","22.2","14.8","7.4",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","29","3.138","24.1","17.2","37.9","10.3","6.9","3.4",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","4","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","76","2.868","18.4","13.2","28.9","18.4","13.2","7.9",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","409","3.473","51.8","18.8","18.3","6.8","3.7","0.2","0.2","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","401","3.574","75.6","11.5","6.0","4.0","2.5","0.2","0.2","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","395","3.723","76.7","13.2","5.8","3.3","1.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","369","3.911","87.0","9.8","1.9","1.4",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1574","3.767","72.4","13.4","8.2","3.9","1.8","0.1","0.1","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1668","3.737","70.2","13.2","9.1","4.6","2.3","0.5","0.1","",".","",".",".","",".","",".","",".",".",".","."
