"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Advanced Lithography","516","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Typography","525","001","","13","3.385","38.5","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534","002","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Publication Design","546","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Glassworking","554","002","","7","3.286","57.1",".",".","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design Accessibility","564","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience for Design","","Course Total","","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing II","612","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 2","614","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","622","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Undergrad Painting Workshp","","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics II","624","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio III","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Computer Augmented Printmaking","636","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal II","644","001","","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Grad Studies in Art","700","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Graphics Workshop I","736","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"GRD Interdisciplinary Critique","740","001","","19","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","908","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","908","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
