"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"Understanding Dance","100
001","100","3.815","87.0","3.0","6.0",".","2.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","101
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","27","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Dance I","Course Total","115","3.935","89.6","7.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","103
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","Course Total","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
002","17","3.938","88.2",".","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Ballet II","Course Total","28","3.926","89.3",".","7.1",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Contemporary Dance II","108
001","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","110
001","8","3.000","50.0",".","12.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"","110
010","37","3.889","78.4","16.2","2.7",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","110
011","39","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","30","3.966","93.3",".","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","110
013","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","110
014","35","3.824","71.4","17.1","8.6",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","110
015","25","3.833","72.0","16.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","110
016","22","3.738","72.7","13.6","4.5",".",".","4.5",".",".",".",".",".",".","4.5",".",".","."
"","110
017","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","218","3.847","78.9","12.4","4.1",".","0.9","0.9",".","1.8",".",".",".",".","0.9",".",".","."
"","111
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","38","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hip-Hop Dance Tech&Theory1","115
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","18","3.771","77.8","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","23","3.913","91.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","Course Total","41","3.828","85.4","2.4","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","126
001","18","3.889","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","126
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique I-B","Course Total","23","3.805","91.3",".",".",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Wkshp Body Studies & Practices","132
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relax Techs for Stress Mgmt","133
001","33","3.783","75.8","3.0","9.1",".",".","3.0",".","9.1",".",".",".",".",".",".",".","."
"","135
001","47","3.891","91.5","4.3",".",".",".",".","2.1","2.1",".",".",".",".",".",".",".","."
"","135
002","36","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
003","43","3.857","88.4",".","7.0",".",".","2.3",".",".",".",".",".",".",".",".","2.3","."
"","135
004","34","3.429","50.0","2.9","14.7","2.9","8.8","2.9",".","17.6",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","160","3.789","80.0","3.1","7.5","0.6","1.9","1.3","0.6","4.4",".",".",".",".",".",".","0.6","."
