"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis
110","001","","84","3.685","67.9","19.0","4.8","3.6","3.6",".","1.2",".",".",".",".",".",".",".",".","."
"Anatomy & Physiology of Speech
201","001","","69","3.819","75.4","17.4","2.9","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Science
202","001","","63","3.595","47.6","30.2","17.5","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt
240","001","","88","3.557","45.5","27.3","20.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception
303","001","","84","3.571","52.4","26.2","13.1","4.8","2.4",".","1.2",".",".",".",".",".",".",".",".","."
"Phonetics and Phon. Dvlpt.
315","001","","108","3.616","59.3","21.3","9.3","7.4","1.9",".","0.9",".",".",".",".",".",".",".",".","."
"Introduction to Audiology
320","001","","109","3.408","40.4","25.7","22.0","6.4","2.8","1.8","0.9",".",".",".",".",".",".",".",".","."
"Sign Language I
424","001","","130","3.931","91.5","6.2","1.5",".",".","0.8",".",".",".",".",".",".",".",".",".","."
"Undergraduate Junior Honors
481","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang
503","001","","49","3.888","87.8","8.2",".","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","",".",".",".",".",".",".",".",".",".",".",".","87.5",".",".","12.5","."
"699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","72","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn
703","001","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder
706","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluency&Phonological Disorders
708","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","38","3.961","94.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
