"PUBLIC AFFAIRS & PUBLIC POLI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","","129","3.694","62.0","24.0","8.5","3.1","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"Intro to Health Policy in U.S.","201
001","","97","3.464","35.1","34.0","22.7","4.1","2.1","1.0",".",".",".",".",".",".",".","1.0",".","."
"","240
001","","21","3.548","47.6","42.9","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","240
002","","27","3.593","33.3","59.3","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","240
004","","27","3.630","48.1","33.3","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Policy Making","Course Total","","75","3.593","42.7","45.3","8.0","1.3","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Topics in Public Policy","274
002","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","281
001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","281
002","","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"What Works in Health Policy","Course Total","","54","3.870","79.6","14.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Public Management","285
001","","24","3.417","16.7","54.2","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","327
001","","39","3.962","94.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Policy","369
001","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
001","","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
004","","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
005","","29","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Public Policy","Course Total","","71","3.824","69.0","26.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Pub Affr Prof Devlpmnt Workshp","800
001","","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Stat Meths-Pub Pol Analys","818
001","","33","3.303","39.4","18.2","12.1","24.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001","","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","880
001","","33","3.788","69.7","21.2","6.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","881
001","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
002","","14","3.464","35.7","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","Course Total","","27","3.611","51.9","25.9","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Compartve&Natnl Social Policy","888
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
