"HISTORY OF SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","",""
"The Digital Age
150","001","","292","3.748","68.2","15.8","5.5","2.4","1.7","0.7","0.3","5.5",".",".",".",".",".",".",".","."
"Origins-Scientific Thought
201","001","","130","3.838","66.2","13.8","4.6",".",".","0.8",".","13.8",".",".",".",".",".",".",".","0.8"
"The Historian's Craft (HSMT)
211","001","","13","3.731","84.6","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Bodies, Diseases, and Healers
212","001","","71","3.883","71.8","5.6","7.0",".",".",".",".","15.5",".",".",".",".",".",".",".","."
"Human History of Plant&Science
301","001","","9","3.500","55.6","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"History of Pharmacy
401","001","","27","3.846","85.2",".","7.4",".","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Dev Public Health-America
509","001","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Historiography & Methods
720","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","2","***","","","","","","","","","","","","","","","",""
