"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","","94","3.633","57.4","17.0","22.3","1.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","","94","2.941","14.9","14.9","37.2","13.8","17.0","2.1",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","","21","4.000","23.8",".",".",".",".",".",".","76.2",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","","24","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"","670
001","","41","4.000","12.2",".",".",".",".",".",".","87.8",".",".",".",".",".",".",".","."
"","670
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","44","4.000","13.6",".",".",".",".",".",".","86.4",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","","38","4.000","28.9",".",".",".",".",".",".","71.1",".",".",".",".",".",".",".","."
"","675
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
027","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
034","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
038","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
042","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
055","","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","675
057","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
059","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
155","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","99","4.000","67.7",".",".",".",".",".",".","32.3",".",".",".",".",".",".",".","."
"","678
001","","51","4.000","2.0",".",".",".",".",".",".","98.0",".",".",".",".",".",".",".","."
"","678
002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","61","4.000","1.6",".",".",".",".",".",".","98.4",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","","15","4.000","53.3",".",".",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
117","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
174","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","27","4.000","18.5",".",".",".",".",".",".","81.5",".",".",".",".",".",".",".","."
"Production Medicine I","701
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","710
001","","32","4.000","34.4",".",".",".",".",".",".","65.6",".",".",".",".",".",".",".","."
"","710
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"SA Emergency Medicine","Course Total","","34","4.000","38.2",".",".",".",".",".",".","61.8",".",".",".",".",".",".",".","."
"Primary Care","714
001","","37","4.000","24.3",".",".",".",".",".",".","75.7",".",".",".",".",".",".",".","."
"","716
001","","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","716
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SA WisCARES","Course Total","","16","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"","775
001","","65","",".",".",".",".",".",".",".","98.5",".",".",".",".","1.5",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 470 of 478",""
