"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","49","3.189","32.7","26.5","14.3","8.2","2.0","2.0","6.1",".",".",".",".",".","2.0",".","6.1","."
"","100
002","54","3.358","33.3","29.6","18.5","11.1","3.7","1.9",".",".",".",".",".",".",".",".","1.9","."
"General Anthropology","Course Total","103","3.281","33.0","28.2","16.5","9.7","2.9","1.9","2.9",".",".",".",".",".","1.0",".","3.9","."
"Archaeology & Prehist World","102
001","157","3.310","33.8","26.1","21.0","6.4","7.0","3.2",".",".",".",".",".",".",".",".","2.5","."
"","104
001","421","3.878","88.6","5.9","2.9","1.0","0.7","0.2","0.7",".",".",".",".",".",".",".",".","."
"","104
002","381","3.863","87.1","7.3","2.9","0.5","0.5",".","1.3","0.3",".",".",".",".",".",".",".","."
"","104
017","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
018","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
031","20","3.700","80.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","104
033","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
039","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
040","19","3.763","78.9","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","918","3.865","86.9","7.5","3.1","0.7","0.5","0.2","1.0","0.1",".",".",".",".",".",".",".","."
"","105
001","214","3.502","46.3","32.2","9.8","6.1","1.9","2.3","0.9",".",".",".",".",".",".",".","0.5","."
"","105
002","249","3.474","46.2","27.7","13.7","6.8","2.8","2.0","0.8",".",".",".",".",".",".",".",".","."
"","105
003","18","3.306","44.4","22.2","11.1","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","105
006","18","3.722","55.6","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","105
011","19","3.789","68.4","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","Course Total","518","3.500","47.3","29.7","11.0","6.4","2.5","2.1","0.8",".",".",".",".",".",".",".","0.2","."
"","120
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
002","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","Course Total","38","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","212
001","70","3.370","55.7","5.7","20.0","1.4","10.0","5.7",".",".",".",".",".",".",".",".","1.4","."
"Africa: Introductory Survey","277
001","13","3.423","30.8","30.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","30","3.821","73.3","13.3","3.3",".","3.3",".",".",".",".",".",".",".","6.7",".",".","."
"Human Skeletal Anatomy","303
001","12","2.917","33.3",".","41.7",".","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310
001","50","3.915","80.0","12.0","2.0",".",".",".",".","6.0",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321
001","21","2.789","33.3","9.5","4.8","9.5","23.8",".","9.5","9.5",".",".",".",".",".",".",".","."
"Political Anthropology","350
001","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ancient Tech and Invention","Course Total","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","24","3.412","25.0","29.2","4.2","4.2","8.3",".",".","25.0",".",".",".",".","4.2",".",".","."
"","354
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeology of Wisconsin","Course Total","27","3.500","33.3","25.9","3.7","3.7","7.4",".",".","22.2",".",".",".",".","3.7",".",".","."
"First Semester Yucatec Maya","376
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Museum Studies-Anthro","405
001","14","3.679","71.4","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","10","3.350","50.0","10.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Stdy Abroad:Tpc-Cult Anthro","455
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 186 of 478",""
