"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
047","14","3.536","35.7","50.0","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
048","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","14","3.357","35.7","42.9","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
050","14","3.714","57.1","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
051","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
052","15","3.567","60.0","33.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
053","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
054","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","15","3.767","80.0",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
056","15","3.567","46.7","46.7",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
057","15","3.467","33.3","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
059","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
060","15","3.633","53.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
061","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
062","15","3.167","20.0","60.0",".",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","100
063","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
064","15","3.633","26.7","73.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
065","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
066","14","3.821","85.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
068","15","3.467","46.7","26.7","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","100
069","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
070","14","3.500","42.9","28.6","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
071","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
072","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","988","3.578","45.7","35.8","11.7","3.5","2.4","0.1","0.5",".",".",".",".",".","0.1",".",".","."
"Intro-Digital Media Production","155
001","128","3.898","84.4","10.2","3.9","0.8",".",".",".","0.8",".",".",".",".",".",".",".","."
"","181
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","181
002","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","Course Total","29","3.862","82.8","13.8",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","119","3.929","93.3","2.5","1.7","1.7","0.8",".",".",".",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","224","3.388","20.1","55.4","17.0","3.6","2.2","0.4","1.3",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","234","3.622","67.1","18.8","4.3","2.6","2.6","2.1","2.1",".",".",".",".",".","0.4",".",".","."
"Thry&Pract-Argument&Debate","262
001","83","3.651","63.9","20.5","6.0","3.6","4.8","1.2",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","142","3.606","54.9","29.6","5.6","5.6","2.8","0.7","0.7",".",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","310
002","41","3.782","68.3","19.5","2.4","2.4","2.4",".",".",".",".",".",".",".","4.9",".",".","."
"","313
001","99","3.438","42.4","26.3","16.2","9.1","2.0",".","2.0","1.0",".",".",".",".","1.0",".",".","."
"","313
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Film and Media Studies","Course Total","100","3.426","42.0","26.0","16.0","9.0","2.0",".","3.0","1.0",".",".",".",".","1.0",".",".","."
"Gender and Communication","316
001","58","3.589","62.1","19.0","5.2","5.2","1.7",".","3.4","3.4",".",".",".",".",".",".",".","."
"Media & Human Behavior","325
001","64","3.429","48.4","14.1","20.3","7.8","6.3","1.6",".",".",".",".",".",".",".","1.6",".","."
