"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","",""
"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Cultural Diversity of Families","174","001","64","3.713","70.3","10.9","9.4",".","1.6","3.1",".",".",".",".",".",".","3.1",".","1.6","."
"HDFS Leadership Symposium","253","001","80","3.850","81.3","11.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Development of Young Child","262","001","211","3.738","74.9","10.0","7.1","1.9","3.8","0.5","0.5",".",".",".",".",".","0.9",".","0.5","."
"Develp: Adolescence-Old Age","263","001","214","3.750","76.6","10.3","7.0","1.4","3.3","1.4",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425","001","44","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Play-Devlpmt & Role-Lifespan","464","001","37","3.757","91.9",".",".",".","2.7","2.7","2.7",".",".",".",".",".",".",".",".","."
"Families & Poverty","465","001","13","3.423","69.2","7.7",".",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","469","001","37","3.667","73.0","10.8","2.7","5.4","2.7",".","2.7",".",".",".",".",".","2.7",".",".","."
"","469","002","37","3.838","91.9",".","5.4",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","","Course Total","74","3.753","82.4","5.4","4.1","2.7","1.4",".","2.7",".",".",".",".",".","1.4",".",".","."
"Parent-Child Relations","471","001","25","3.500","72.0","8.0","4.0","4.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474","001","37","3.689","75.7","5.4","8.1","2.7","8.1",".",".",".",".",".",".",".",".",".",".","."
"","501","001","26","3.860","73.1","19.2","3.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","501","004","21","3.750","57.1","28.6","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"Special Topics","","Course Total","47","3.811","66.0","23.4","6.4",".",".",".",".",".",".",".",".",".","2.1","2.1",".","."
"Family Stress and Resilience","516","001","31","3.210","38.7","16.1","9.7","19.4","16.1",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","58","3.793","79.3","6.9","6.9","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","36","3.875","86.1","5.6","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","33","3.894","78.8","21.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663","001","32","3.875","93.8",".","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"Independent Study","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Childhood and the Family","761","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","765","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in HDFS","766","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bridging Gap: Rsch & Action","872","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","20","",".",".",".",".",".",".",".","65.0",".",".",".","35.0",".",".",".","."
"Independent Study","999","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
