"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat","501","001","","95","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","","13","2.923","38.5","15.4","7.7",".","30.8",".","7.7",".",".",".",".",".",".",".",".","."
"Small Animal Surgery","630","001","","94","3.059","14.9","16.0","50.0","6.4","11.7","1.1",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","94","",".",".",".",".",".",".",".","98.9",".",".",".",".","1.1",".",".","."
"Small Animal Anesthesia Lab","634","001","","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Diagnostic Imaging","638","001","","94","3.915","85.1","12.8","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","642","001","","39","4.000","5.1",".",".",".",".",".",".","94.9",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","30","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","645","001","","38","4.000","42.1",".",".",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"","645","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","","Course Total","","39","4.000","43.6",".",".",".",".",".",".","56.4",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646","001","","35","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","38","4.000","78.9",".",".",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"","675","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","017","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","023","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","028","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","79","4.000","50.6",".",".",".",".",".",".","49.4",".",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","130","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","710","001","","20","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","710","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Species Rotation","","Course Total","","21","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"Wildlife Medicine Rotation","711","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"SA Radiation Oncology","714","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741","001","","26","4.000","23.1",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Animal Surgery","746","001","","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750","001","","24","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
