"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
023","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
024","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
025","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
027","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","125
029","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
030","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
032","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
034","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","347","3.948","94.5","3.2","1.2","0.9",".",".","0.3",".",".",".",".",".",".",".",".","."
"Intersectionalities","225
001","217","3.864","83.9","8.8","2.3","1.4","1.4",".","0.5","0.5",".",".",".",".","0.9","0.5",".","."
"Mental Hlth &Diverse Community","237
001","194","3.869","92.8","3.6","0.5",".",".","1.5","1.5",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","300
010","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Suicide","371
001","19","3.941","84.2",".","5.3",".",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"Mental Hlth: Prevent & Interv","531
001","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community-Engaged Scholarship","601
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
005","26","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","36","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Clinical Communication Skills","655
001","113","3.888","89.4","4.4","1.8",".","3.5",".",".",".",".",".",".",".","0.9",".",".","."
"","699
040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Activities","700
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Clin Mental Hlth Counsl","791
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Helping Relations & Techniques","805
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supv Internship in Counseling","808
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev & Clinical Prac","810
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","29","3.948","96.6",".",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Consult in Health Service Psy","850
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Cultural Counseling","860
001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Advanced","903
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Counseling Psych Externship","904
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Rsch Pract in Counseling Psych","905
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Ethical & Professional Issues","926
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 88 of 478"
