"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","760
010","45","3.644","48.9","31.1","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
011","69","3.696","58.0","23.2","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
050","44","3.602","38.6","43.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Data Technology","Course Total","158","3.660","50.0","31.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","780
001","16","3.781","81.3",".","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","780
010","42","3.881","90.5","2.4","2.4","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","780
011","58","3.905","89.7","5.2","3.4",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Cloud Technology","Course Total","116","3.879","88.8","3.4","4.3","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Business Stats Using Python","881
080","43","3.837","83.7","14.0",".",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"SQL Fundamentals","882
080","44","3.909","88.6","9.1",".",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization Cloud Tech","883
080","42","3.940","88.1","11.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found. of Predictive Modeling","886
080","41","3.354","39.0","34.1","12.2","7.3","2.4",".","4.9",".",".",".",".",".",".",".",".","."
"Beginning a Research Career","933
001","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"231
GEN BUS","Dept. Total","6199","3.493","42.1","19.1","10.6","4.9","1.9","0.5","0.2","0.4",".","20.1","0.2",".","0.0","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","673","3.833","45.2","4.3","1.8","0.7","0.4","0.7",".",".",".","46.4","0.3",".",".","0.1",".","."
"Sophomore","","1505","3.392","38.3","7.2","8.2","4.7","2.1","0.3","0.2",".",".","38.9","0.1",".","0.1","0.1",".","."
"Junior","","1384","3.375","36.6","19.7","12.1","8.0","3.4","0.9","0.3",".",".","18.8","0.1",".","0.1","0.1",".","."
"Senior","","1408","3.477","38.6","30.7","15.2","6.8","1.8","0.6","0.2","0.3",".","5.5","0.1",".",".",".",".","."
"Undergraduates","","4970","3.442","38.8","16.9","10.4","5.7","2.2","0.6","0.2","0.1",".","24.9","0.2",".","0.0","0.1",".","."
"Special","","32","3.118","18.8","9.4","18.8","3.1","6.3","3.1",".","3.1",".","18.8","3.1",".",".","9.4","6.3","."
"Graduate","","1194","3.692","56.2","28.2","11.1","1.5","0.6",".","0.3","1.6",".","0.3","0.2",".",".","0.1",".","."
"Prof Yr 3","","3","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","100.0",".",".",".",".",".","."
"","Dept. Total","6199","3.493","42.1","19.1","10.6","4.9","1.9","0.5","0.2","0.4",".","20.1","0.2",".","0.0","0.1","0.0","."
