"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foundations in Art Education
323
002","","13","3.462","38.5","30.8","15.4","15.4","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Methods in Art Education
324
001","","13","3.654","61.5","15.4","15.4","7.7","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"327
001","","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"327
002","","11","3.818","81.8",".","18.2",".","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Course Total
Practicum in Art Education","","13","3.846","84.6",".","15.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total
176
ART ED","","39","3.702","61.5","15.4","15.4","7.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","33","3.750","63.6","18.2","12.1","6.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","33","3.750","63.6","18.2","12.1","6.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","6","3.438","50.0",".","33.3","16.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","39","3.702","61.5","15.4","15.4","7.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
