"BIOLOGY CORE CURRICULUM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Becoming a Scientist","181
001","","20","3.825","90.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Evolution,Ecology,&Genetics","381
001","","91","3.593","60.4","7.7","27.5","1.1","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"","382
001","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","382
002","","16","3.531","43.8","18.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","382
003","","20","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","382
004","","14","3.464","42.9","7.1","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","382
005","","19","3.368","26.3","31.6","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","","86","3.599","54.7","12.8","31.4",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Peer Mentoring","401
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Physiology","485
001","","76","3.697","65.8","14.5","17.1","1.3",".","1.3",".",".",".",".",".",".",".",".",".","."
"","486
001","","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","486
002","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","486
003","","14","3.679","71.4","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Principles of Physiology Lab","Course Total","","35","3.771","77.1","8.6","8.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"206
BIOCORE","Dept. Total","","325","3.656","62.5","10.2","20.9","0.9","1.2","0.9",".",".",".","3.4",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","12","3.750","91.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","62","3.484","50.0","14.5","29.0","1.6","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"Junior","","","162","3.672","61.7","10.5","23.5","1.2","0.6",".",".",".",".","2.5",".",".",".",".",".","."
"Senior","","","89","3.739","68.5","7.9","13.5",".","1.1","1.1",".",".",".","7.9",".",".",".",".",".","."
"Undergraduates","","","325","3.656","62.5","10.2","20.9","0.9","1.2","0.9",".",".",".","3.4",".",".",".",".",".","."
"","Dept. Total","","325","3.656","62.5","10.2","20.9","0.9","1.2","0.9",".",".",".","3.4",".",".",".",".",".","."
