"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","302
002","44","3.568","38.6","36.4","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","81","3.488","33.3","37.0","23.5","6.2",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","310
001","44","3.523","52.3","22.7","11.4","2.3","6.8","2.3",".",".",".",".",".",".","2.3",".",".","."
"","340
001","41","3.476","29.3","41.5","24.4","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","42","3.405","31.0","35.7","21.4","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"","340
003","41","3.415","26.8","34.1","34.1","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Information Systems","Course Total","124","3.431","29.0","37.1","26.6","5.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","401
001","44","3.841","79.5","13.6","4.5",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","401
002","42","3.607","59.5","28.6","2.4","2.4","4.8",".","2.4",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","86","3.727","69.8","20.9","3.5","1.2","3.5",".","1.2",".",".",".",".",".",".",".",".","."
"","406
001","39","3.654","61.5","20.5","7.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"","406
002","36","3.371","25.0","33.3","27.8","11.1",".",".",".",".",".",".",".",".","2.8",".",".","."
"Accounting and Analysis Report","Course Total","75","3.520","44.0","26.7","17.3","9.3","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"","603
001","34","3.838","70.6","26.5","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","30","3.850","76.7","16.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","26","3.673","53.8","26.9","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","90","3.794","67.8","23.3","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","33","3.333","18.2","42.4","30.3","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","620
002","34","3.353","26.5","26.5","38.2","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","67","3.343","22.4","34.3","34.3","7.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","621
001","27","3.056","22.2","7.4","40.7","18.5","11.1",".",".",".",".",".",".",".",".",".",".","."
"","621
002","24","3.375","33.3","16.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","51","3.206","27.5","11.8","41.2","13.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"","630
001","44","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","43","3.698","62.8","27.9","7.0",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Foundations of Auditing","Course Total","87","3.770","70.1","20.7","8.0",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"","640
001","36","3.847","72.2","25.0","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","40","3.875","82.5","10.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","31","3.887","80.6","16.1","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundation-Accting Analytics","Course Total","107","3.869","78.5","16.8","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","42","3.512","23.8","54.8","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","43","3.535","25.6","58.1","14.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
040","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","60","3.700","51.7","40.0","5.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","33","3.682","51.5","36.4","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","198","3.614","38.9","47.0","12.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
