"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Glassworking","354
002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","9","3.278","44.4","22.2",".","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","376
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","30","3.783","83.3","6.7",".","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Digital Fabrication Studio","409
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428
001","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","428
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Imaging Studio","Course Total","28","3.946","96.4",".",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","429
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","429
002","14","3.821","85.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","Course Total","26","3.885","88.5","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design History","438
001","37","3.905","89.2","8.1",".",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
003","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","448
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
009","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","42","3.962","92.9","4.8",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Intmed Paint: New Figuration I","452
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
001","10","3.722","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","454
002","13","3.731","69.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Neon: Light as Sculpture","Course Total","23","3.727","60.9","26.1","4.3",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","458
001","16","3.750","75.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","458
002","15","3.600","73.3","6.7",".","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Branding Design","Course Total","31","3.677","74.2","9.7","3.2","3.2","9.7",".",".",".",".",".",".",".",".",".",".","."
"Information Graphics","463
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466
002","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design for Posters","467
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","508
001","117","3.869","81.2","4.3","2.6","2.6",".",".","0.9",".","0.9",".",".",".",".","0.9","6.8","."
"","508
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium in Art","Course Total","138","3.891","84.1","3.6","2.2","2.2",".",".","0.7",".","0.7",".",".",".",".","0.7","5.8","."
"Art Performance","511
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","512
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 1","514
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
