"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"Sales Strategy and Management","424
001","30","3.241","30.0","26.7","20.0","6.7","10.0","3.3",".","3.3",".",".",".",".",".",".",".","."
"","425
001","46","3.304","23.9","43.5","21.7","4.3","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"","425
003","45","3.444","24.4","44.4","26.7","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channel Strategy","Course Total","91","3.374","24.2","44.0","24.2","4.4","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","428
001","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","42","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","37","3.689","40.5","56.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
004","31","3.661","41.9","48.4","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","110","3.755","54.5","41.8","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","42","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","43","3.453","30.2","30.2","39.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
040","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","61","3.918","85.2","13.1","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","34","3.779","55.9","44.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","200","3.680","54.0","28.0","18.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","20","3.625","30.0","65.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Creative Marketing","715
001","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channel Strategy","725
001","37","3.459","13.5","64.9","21.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Strategy","726
001","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","728
001","14","3.500","21.4","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"New Product Innovation","737
001","26","3.827","69.2","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","25","3.640","60.0","24.0","8.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Marketing","840
001","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Contemporary Topics","971
001","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
138","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
162","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
