"ENGR MECHANICS & AEROSPA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"599","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.806","75.0",".","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Special Topics: Engr Mech
601","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Finite Elements
605","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Continua
710","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr
759","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"890","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","7","",".",".",".",".",".",".",".","71.4","14.3",".",".","14.3",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
