"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Industrial Statistics","210
001","","119","3.441","26.9","40.3","26.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mgmt & Analys for Ind Eng","312
001","","62","3.631","51.6","25.8","16.1","4.8",".",".",".",".",".",".",".",".","1.6",".",".","."
"Engineerng Economc Analysis","313
001","","84","3.536","51.2","23.8","15.5","2.4","6.0","1.2",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315
001","","60","3.675","58.3","28.3","11.7",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320
001","","56","3.375","26.8","26.8","41.1","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","27","3.426","29.6","25.9","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","16","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","13","3.269","23.1","15.4","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","Course Total","","56","3.375","26.8","26.8","41.1","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323
001","","55","3.073","25.5","10.9","32.7","14.5","16.4",".",".",".",".",".",".",".",".",".",".","."
"","348
002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348
003","","20","3.825","90.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","348
004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","Course Total","","55","3.936","96.4","1.8",".",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","","82","3.494","45.1","31.7","13.4","6.1","1.2",".","2.4",".",".",".",".",".",".",".",".","."
"Industrial Engr Design I","350
001","","53","3.915","83.0","17.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412
001","","51","3.931","88.2","9.8","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design II","450
001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510
001","","22","3.614","54.5","22.7","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512
001","","29","3.914","89.7","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515
001","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
001","","18","3.611","55.6","16.7","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","517
002","","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","Course Total","","32","3.641","56.3","18.8","21.9","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","520
001","","26","3.865","84.6","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","520
002","","20","3.895","80.0","10.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Quality Assurance Systems","Course Total","","46","3.878","82.6","8.7","4.3","2.2",".",".",".","2.2",".",".",".",".",".",".",".","."
"","521
001","","32","3.563","40.6","50.0","6.3",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"","521
002","","11","3.364","36.4",".","63.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"ML in Action for IEs","Course Total","","43","3.512","39.5","37.2","20.9",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"","524
001","","10","3.600","60.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","524
002","","14","3.464","50.0","21.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","Course Total","","24","3.521","54.2","20.8","4.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","","10","3.350","50.0",".","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549
001","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
001","","30","3.867","86.7","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","555
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","Course Total","","38","3.882","86.8","7.9","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
