"FOREST AND WILDLIFE ECOLO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","38","3.677","65.8",".","10.5",".","2.6",".","2.6",".",".",".",".",".",".",".","18.4","."
"Orientation to Wildlfe Ecology","101","001","50","3.670","74.0","12.0","2.0","6.0","4.0",".","2.0",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","110","3.009","28.2","19.1","19.1","10.0","13.6","6.4","1.8","1.8",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Principles-Wildlife Ecology","318","001","51","3.088","17.6","35.3","15.7","13.7","15.7","2.0",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","51","3.510","41.2","23.5","31.4","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dendrology","402","001","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Disturb Ecol Lab: Forest Path","450","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeochem","451","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515","001","19","3.474","26.3","52.6","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","41","3.390","48.8","17.1","9.8","12.2","12.2",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","550","001","81","3.407","48.1","13.6","23.5","1.2","13.6",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","002","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","002","33","3.545","57.6","24.2","9.1",".","6.1",".","3.0",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","571","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Complex Conservation of Deer","577","001","23","3.652","47.8","39.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Conservation Biology","651","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Ecology","660","001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intr. to WI Ecol.: Grad Sem","953","001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
