"L&S","","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","",""
"First Semester Ancient Greek","103","001","","7","3.143","57.1","14.3",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Third Semester Ancient Greek","305","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Greek Literature","401","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Greek Tragedy","521","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"428
GREEK","","Dept. Total","","26","3.543","53.8","30.8","3.8","3.8",".",".","3.8","3.8",".",".",".",".",".",".",".","."
