"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"Tissue Engineering Laboratory
511","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology in Engineering Seminar
517","001","","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Biolog & Med Microsys
550","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering
560","001","","17","3.559","47.1","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Math Methods Medical Physics
573","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Bioinstrmnt MedDevices
603","001","","32","3.968","93.8",".","3.1",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Topics-Biomatrls Cell & Tissue
606","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tissue Mechanics
615","001","","31","3.435","29.0","45.2","12.9","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Microscopy of Life
619","001","","27","3.870","92.6","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"Heart Biology and Regeneration
670","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Biomedical Engineering
701","001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Grad Cooperative Educ Program
702","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsp Cndct of Rsrch Biomed Engr
703","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning Ultrason Imag
778","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods Quantitative Biology
780","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 121 of 478",""
