"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Introduction to Time Series","Course Total","53","3.311","43.4","18.9","17.0","5.7","11.3","3.8",".",".",".",".",".",".",".",".",".","."
"","371
001","112","2.725","22.3","9.8","19.6","17.9","15.2","12.5","1.8",".",".",".",".",".",".","0.9",".","."
"","371
002","115","2.734","19.1","7.0","20.0","23.5","18.3","7.8","0.9",".",".",".",".",".","2.6","0.9",".","."
"","371
003","134","2.840","25.4","9.7","20.1","13.4","24.6","5.2","1.5",".",".",".",".",".",".",".",".","."
"","371
004","98","2.923","28.6","10.2","20.4","15.3","18.4","6.1","1.0",".",".",".",".",".",".",".",".","."
"","371
005","119","2.957","31.1","11.8","20.2","6.7","20.2","7.6","0.8",".",".",".",".",".","1.7",".",".","."
"Intro Applied Stats-Life Sci","Course Total","578","2.835","25.3","9.7","20.1","15.2","19.6","7.8","1.2",".",".",".",".",".","0.9","0.3",".","."
"Internship Class CS & Data Sci","403
001","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","72","3.556","33.3","54.2","4.2","6.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"","421
002","10","3.200","20.0","40.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Appl Categorical Data Analysis","Course Total","82","3.512","31.7","52.4","6.1","6.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","55","3.382","54.5","12.7","10.9","9.1","7.3","5.5",".",".",".",".",".",".",".",".",".","."
"","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
004","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","20","3.575","50.0","20.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","436
001","55","3.536","40.0","30.9","27.3",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","436
002","12","3.458","33.3","41.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","436
003","67","3.403","38.8","26.9","22.4","6.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Statistical Data Visualization","Course Total","134","3.463","38.8","29.9","23.9","3.0","3.0","1.5",".",".",".",".",".",".",".",".",".","."
"","451
001","62","3.623","56.5","22.6","14.5","3.2",".",".","1.6","1.6",".",".",".",".",".",".",".","."
"","451
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
003","60","3.625","58.3","21.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","451
004","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","Course Total","136","3.652","60.3","20.6","13.2","1.5","2.9",".","0.7","0.7",".",".",".",".",".",".",".","."
"","461
001","24","3.729","70.8","8.3","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","461
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Statistics","Course Total","28","3.714","64.3","17.9","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","5","***","","","","","","","","","","","","","","","",""
"Spec Topics in Stats","479
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","571
001","47","3.500","36.2","36.2","25.5",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"","571
002","39","3.551","35.9","38.5","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","86","3.523","36.0","37.2","25.6",".",".","1.2",".",".",".",".",".",".",".",".",".","."
"","601
001","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","30","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Methods I","Course Total","37","3.554","35.1","43.2","18.9","2.7",".",".",".",".",".",".",".",".",".",".",".","."
