"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","203
001","","11","3.364","9.1","54.5","36.4",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","203
002","","16","3.867","68.8","25.0",".",".","","",".","",".","",".","6.3",".","",".",".","",".","","",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","","27","3.654","44.4","37.0","14.8","",".","",".","",".","",".","3.7","",".",".","",".","",".","",".",".",".","."
"260
COMP LIT","Dept. Total","","27","3.654","44.4","37.0","14.8","",".","",".","",".","",".","3.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","8","3.500","25.0","50.0","25.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.708","58.3","25.0","16.7","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","6","3.750","50.0","50.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","26","3.654","46.2","38.5","15.4","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","27","3.654","44.4","37.0","14.8","",".","",".","",".","",".","3.7","",".",".","",".","",".","",".",".",".","."
