"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"MED","College Total","7620","3.799","38.2","8.4","2.5","0.5","0.3","0.1","0.1","40.6","0.1","6.6","",".","1.1","0.3",".","0.9","0.3"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.742","87.0","4.3",".",".","4.3","4.3",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","99","3.949","89.9","4.0","1.0","1.0",".",".",".",".",".",".","",".",".",".",".","4.0","."
"Junior","","295","3.864","86.4","5.4","2.7","1.0","2.0",".","0.3",".",".",".","",".",".",".",".","2.0","."
"Senior","","744","3.822","81.7","7.7","7.0","1.2","0.9","0.4","0.1",".",".","0.4","",".","0.3",".",".","0.3","."
"Undergraduates","","1161","3.840","83.7","6.7","5.3","1.1","1.2","0.3","0.2",".",".","0.3","",".","0.2",".",".","1.0","."
"Special","","97","3.925","64.9","4.1","3.1",".",".",".",".","3.1",".",".","",".",".","2.1",".","22.7","."
"Graduate","","2089","3.800","51.2","11.1","3.5","0.9","0.2",".","0.1","23.4","0.1","4.3","",".","3.6","0.2",".","1.5","."
"Prof Yr 1","","1234","3.722","32.5","16.0","3.1","0.6","0.1",".",".","29.6","0.1","16.5","",".",".","0.5",".",".","1.1"
"Prof Yr 2","","795","3.753","26.2","11.4","1.5",".",".",".","0.1","44.7","0.8","14.5","",".",".","0.5",".",".","0.4"
"Prof Yr 3","","515","3.935","6.2","0.4",".",".",".",".",".","72.2",".","16.9","",".","1.4","1.2",".","0.4","1.2"
"Prof Yr 4","","1790","3.865","12.6","2.0","0.2","0.2","0.1",".","0.1","84.5","0.1","0.5","",".",".",".",".",".","."
"Professionals","","4334","3.765","20.0","7.5","1.2","0.2","0.0",".","0.0","60.1","0.2","9.6","",".","0.2","0.4",".","0.0","0.5"
"","College Total","7681","3.799","38.7","8.3","2.5","0.5","0.3","0.1","0.1","40.3","0.1","6.6","",".","1.1","0.3",".","0.9","0.3"
