"KINESIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","116","3.785","75.9","10.3","7.8","2.6","0.9","0.9",".","0.9",".",".",".",".",".",".","0.9","."
"Measuring Physical Act Beh","112
001","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Human Performance","115
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
001","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","Course Total","44","3.784","59.1","38.6","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119
001","99","3.838","84.8","7.1","3.0","3.0","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121
001","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Living well: Lifestyle balance","123
001","20","3.816","75.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","125
001","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
003","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
004","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","125
005","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"","125
006","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","65","4.000","3.1",".",".",".",".",".",".","96.9",".",".",".",".",".",".",".","."
"Intro to Athletic Healthcare","127
001","106","3.420","47.2","14.2","27.4","3.8","5.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","108","3.713","61.1","27.8","6.5","3.7",".","0.9",".",".",".",".",".",".",".",".",".","."
"","150
002","88","3.818","69.3","25.0","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndations:Hlth Behavior Equity","Course Total","196","3.760","64.8","26.5","6.1","2.0",".","0.5",".",".",".",".",".",".",".",".",".","."
"Intro Phys Act Diverse Ablts","225
001","46","3.852","82.6","10.9",".",".",".",".","2.2",".",".",".",".",".","4.3",".",".","."
"Intro to Clinical Anat Hum Mov","227
001","99","3.515","50.5","20.2","21.2","4.0","2.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","300
001","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","62","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","81","3.971","92.6","4.9","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomech of Phys Act","308
001","13","2.731","7.7","23.1","15.4","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","70","3.550","48.6","22.9","20.0","7.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318
001","80","3.331","33.8","26.3","20.0","12.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"","325
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","Course Total","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330
001","53","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001","47","3.936","93.6",".","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","54","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","Course Total","101","3.970","97.0",".","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPE in Multicultural Society","353
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","39","3.974","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 112 of 478",""
