"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"","711
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
010","","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","711
012","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","","50","4.000","98.0",".",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Development","720
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","","36","3.861","91.7","5.6",".",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","","48","3.885","91.7","6.3",".",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regression Models in Education","763
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Construction","771
001","","16","3.893","68.8","18.8",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"MSPE Capstone","791
001","","18","",".",".",".",".",".",".",".","94.4",".",".",".",".","5.6",".",".","."
"Intro to Learning Sciences I","795
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Research Methods","803
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructionism","821
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Beg Practicum in School Psych","828
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Practicum School Psych","829
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","830
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","830
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Practicum School Psych","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv. Practicum School Psych","840
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","943
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","943
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res and Meas in School Psych","948
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quasi-Experimental Designs","963
001","","16","3.857","68.8","12.5","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Applied Bayesian Statistics","965
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 102 of 478",""
