"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"GNS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","13","3.615","76.9","15.4",".",".","",".","",".","7.7","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","9","3.586","88.9",".",".",".","",".","",".","11.1","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","29","3.606","79.3","6.9","3.4","3.4","",".","",".","6.9","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","33","3.624","75.8","12.1","3.0","3.0","",".","",".","6.1","",".","",".",".","",".","",".","",".",".",".","."
