"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Stats for Sociologists II","361","001","","29","3.500","48.3","31.0","13.8",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","425","001","","10","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnicity, Race, and Justice","440","001","","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","","97","3.711","69.1","14.4","9.3","4.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","475","001","","25","3.068","8.0","12.0","56.0","8.0","4.0",".",".",".",".",".",".",".","8.0","4.0",".","."
"","475","003","","22","3.750","68.2","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","47","3.409","36.2","14.9","34.0","6.4","2.1",".",".",".",".",".",".",".","4.3","2.1",".","."
"","496","003","","9","3.417","22.2","22.2","11.1","11.1",".",".",".","33.3",".",".",".",".",".",".",".","."
"","496","007","","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","496","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","37","3.608","59.5","18.9","5.4","5.4",".","2.7",".","8.1",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","16","3.833","68.8","18.8","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Social Stratification","633","001","","19","3.412","15.8","47.4","21.1","5.3",".",".",".","10.5",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","","16","3.594","50.0","37.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652","001","","23","3.400","34.8","17.4","21.7","8.7","4.3",".",".","4.3",".",".",".",".","8.7",".",".","."
"Sociology of Persecution","678","001","","22","2.727","27.3","18.2","4.5","18.2","18.2","4.5","9.1",".",".",".",".",".",".",".",".","."
"","681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","691","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intro Prosmr-Grad Students","700","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Research Methods-Sociology","750","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement&Questionnaires","752","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Research Methods-Sociol","754","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","797","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","797","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Epidemiology","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","875","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
