"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","399
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
113","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
121","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
122","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","42","3.990","95.2","2.4",".",".",".",".",".",".",".",".",".",".",".",".","2.4","."
"Intro to Electric Drive Sys","411
001","32","3.063","21.9","28.1","31.3","3.1","6.3","6.3","3.1",".",".",".",".",".",".",".",".","."
"","412
001","41","3.476","46.3","24.4","14.6","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"","412
003","27","3.833","70.4","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","68","3.618","55.9","25.0","10.3","4.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"","427
001","47","3.585","48.9","27.7","14.9","8.5",".",".",".",".",".",".",".",".",".",".",".","."
"","427
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Power Systems","Course Total","52","3.618","51.9","25.0","13.5","7.7",".",".",".",".",".",".",".",".",".",".","1.9","."
"Introduction to Cryptography","435
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Systems I","436
001","32","3.500","56.3","25.0","3.1","6.3","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","30","3.500","36.7","46.7","10.0",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453
001","27","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile Computing Laboratory","454
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462
001","18","3.111","27.8","16.7","22.2","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Electronics of Solids","466
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","2","***","","","","","","","","","","","","","","","",""
"Software Engineering","506
001","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Power Electronics Lab","512
001","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","524
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","524
002","17","3.412","41.2","17.6","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","Course Total","19","3.289","36.8","15.8","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
001","16","3.438","50.0","18.8","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","532
002","21","3.429","47.6","19.0","9.5","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","37","3.432","48.6","18.9","8.1","18.9","5.4",".",".",".",".",".",".",".",".",".",".","."
"Image Processing","533
001","42","3.881","83.3","14.3",".",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Communication Networks","537
001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539
001","42","3.378","28.6","33.3","26.2","7.1",".","2.4",".",".","2.4",".",".",".",".",".",".","."
"Integrated Circuit Design","548
001","27","3.222","25.9","37.0","14.8","14.8","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"","551
001","83","3.355","30.1","31.3","25.3","6.0","7.2",".",".",".",".",".",".",".",".",".",".","."
"","551
004","45","3.159","31.1","8.9","33.3","17.8","4.4",".","2.2",".",".",".",".",".",".","2.2",".","."
"Digital Sys Design & Synthesis","Course Total","128","3.287","30.5","23.4","28.1","10.2","6.3",".","0.8",".",".",".",".",".",".","0.8",".","."
"","552
001","54","3.491","42.6","37.0","5.6","7.4","3.7",".","1.9",".",".",".",".",".","1.9",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 133 of 478",""
