"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","630
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev School & Community","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Early Child Ed","660
001","","41","3.988","95.1","2.4",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Lrng Envr-Initial Ed Progm","663
001","","44","3.875","84.1","6.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","673
001","","40","3.961","87.5","7.5",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","673
002","","43","3.953","93.0","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning 2nd Lang & Literacies","Course Total","","83","3.957","90.4","6.0","1.2",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"General Seminar","675
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Digital Media & Tech","709
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to C&I","712
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life History:Theories & Methds","723
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","729
001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","729
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","729
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","729
004","","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","729
005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","729
006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classroom Management-","Course Total","","84","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Theories of Race/Racism in Ed","775
001","","19","4.000","89.5",".",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Qual Rsch Mthds-Educ: Field II","789
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Project or Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Ind. Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Research Methods","803
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructionism","821
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supervisn-Teacher Education","860
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"How Games Change Us","914
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues in Music Educ","947
001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
