"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","76","3.581","43.4","35.5","11.8","3.9","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"","101
001","390","3.247","35.6","23.6","16.7","12.6","7.7","2.8","1.0",".",".",".",".",".",".",".",".","."
"","101
002","347","3.245","21.0","28.0","32.0","14.1","3.7",".",".",".",".",".",".",".","1.2",".",".","."
"","101
003","388","3.358","35.8","27.1","21.4","8.0","6.2","1.3","0.3",".",".",".",".",".",".",".",".","."
"","101
004","353","3.439","35.7","34.3","16.7","8.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
005","10","3.389","20.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Principles-Microeconomics","Course Total","1488","3.322","32.2","28.1","21.6","10.8","5.6","1.1","0.3",".",".",".",".",".","0.3","0.1",".","."
"","102
001","128","3.152","25.0","21.1","28.9","14.1","8.6","2.3",".",".",".",".",".",".",".",".",".","."
"","102
002","225","2.996","18.2","20.9","22.7","20.0","16.9","0.4","0.4",".",".",".",".",".","0.4",".",".","."
"","102
003","254","3.247","26.0","32.7","20.5","10.2","7.9","2.4",".",".",".",".",".",".","0.4",".",".","."
"Principles-Macroeconomics","Course Total","607","3.134","22.9","25.9","23.1","14.7","11.4","1.6","0.2",".",".",".",".",".","0.3",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","31","3.629","48.4","29.0","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Tools for Economics","205
001","31","3.274","38.7","22.6","16.1","12.9","3.2","6.5",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","15","3.200","26.7","6.7","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","16","3.156","12.5","18.8","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","36","3.139","22.2","13.9","44.4","13.9","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"","301
001","175","3.189","22.3","29.1","24.6","14.3","9.1",".","0.6",".",".",".",".",".",".",".",".","."
"","301
002","239","3.082","21.8","27.2","20.5","11.7","15.5","1.7","0.8",".",".",".",".",".","0.8",".",".","."
"","301
003","85","3.076","24.7","22.4","21.2","18.8","8.2","3.5","1.2",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","499","3.119","22.4","27.1","22.0","13.8","12.0","1.4","0.8",".",".",".",".",".","0.4",".",".","."
"","302
001","220","3.302","20.9","33.2","32.7","8.2","3.6",".",".",".",".",".",".",".","1.4",".",".","."
"","302
002","96","3.172","17.7","32.3","28.1","12.5","8.3","1.0",".",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","316","3.262","19.9","32.9","31.3","9.5","5.1","0.3",".",".",".",".",".",".","0.9",".",".","."
"","306
001","67","3.769","74.6","16.4","6.0",".","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"","306
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
004","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
005","11","3.727","81.8",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","99","3.803","79.8","11.1","6.1",".","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","309
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","173","3.168","22.5","27.7","27.2","12.7","7.5","1.2","1.2",".",".",".",".",".",".",".",".","."
"","310
002","229","3.035","24.9","20.1","15.7","21.0","16.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","402","3.092","23.9","23.4","20.6","17.4","12.7","1.0","1.0",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Adv Treatment","311
001","33","3.424","30.3","36.4","21.2","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization for Econ","315
001","44","3.489","40.9","31.8","22.7","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","2","***","","","","","","","","","","","","","","","",""
