"Dissertator's Research","Course Total","72","",".",".",".",".",".",".",".","79.2",".",".","",".","20.8",".",".",".","."
"","999
003","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
079","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","2","***","","","","","","","","","","","","","","","","",""
"320
E C E","Dept. Total","3809","3.504","51.7","18.2","11.7","6.0","3.4","0.7","0.6","5.6","0.1","0.4","",".","1.2","0.2","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","104","3.435","63.5","14.4","4.8","8.7","4.8","1.9","1.9",".",".",".","",".",".",".",".",".","."
"Sophomore","","305","3.521","59.0","18.7","10.2","5.6","4.9","0.3","1.0",".",".",".","",".",".","0.3",".",".","."
"Junior","","895","3.386","45.3","22.6","15.1","10.2","5.3","0.9","0.4",".",".",".","",".",".","0.1","0.2",".","."
"Senior","","1563","3.517","56.7","19.4","13.1","5.2","3.5","0.9","0.6","0.1",".",".","",".",".","0.1","0.1","0.1","."
"Undergraduates","","2867","3.472","53.6","20.2","13.1","6.9","4.3","0.9","0.7","0.1",".",".","",".",".","0.1","0.1","0.1","."
"Special","","51","3.560","54.9","21.6","9.8","7.8",".",".","2.0",".",".",".","",".",".",".","2.0","2.0","."
"Graduate","","891","3.657","45.5","11.8","7.2","2.8","1.0","0.1","0.2","23.7","0.2","1.9","",".","5.2","0.2",".","0.2","."
"","Dept. Total","3809","3.504","51.7","18.2","11.7","6.0","3.4","0.7","0.6","5.6","0.1","0.4","",".","1.2","0.2","0.1","0.1","."
