"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUSIC-PERFORMANCE","Section","#","Ave","A","AB","B","BC","","C","","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","Dept. Total","514","3.939","87.5","7.8","2.1","",".","",".","0.2","",".","",".","",".",".","",".","",".","2.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","71","3.906","83.1","15.5","1.4","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","94","3.912","86.2","8.5","5.3","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","111","3.944","89.2","9.0","1.8","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","101","3.924","90.1","6.9","2.0","",".","",".","1.0","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","377","3.923","87.5","9.5","2.7","",".","",".","0.3","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","136","3.971","87.5","2.9","0.7","",".","",".",".","",".","",".","",".",".","",".","",".","8.8",".",".","."
"","Dept. Total","514","3.939","87.5","7.8","2.1","",".","",".","0.2","",".","",".","",".",".","",".","",".","2.3",".",".","."
