"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","67","",".",".",".",".",".",".",".","52.2",".",".",".","47.8",".",".",".","."
