"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"Smr-Human&Clinicl Nutrition
881","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Nutr&Metabolism (Adv)
901","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Nutrition
931","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","32","",".",".",".",".",".",".",".","81.3",".",".",".","15.6",".",".","3.1","."
