"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","137","3.624","48.2","36.5","11.7","2.2","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","102","002","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion in Sickness & Health","","Course Total","","155","3.655","51.6","34.8","10.3","1.9","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"","200","001","","19","3.472","36.8","31.6","15.8","5.3","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","200","002","","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics in Relig St (H)","","Course Total","","30","3.448","33.3","30.0","26.7","3.3","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"Religion & Everyday Language","201","001","","11","3.667","72.7",".",".",".",".","9.1",".","18.2",".",".",".",".",".",".",".","."
"Jewish Law, Business, Ethics","203","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"West Intell & Rel Hist to 1500","208","001","","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Health & Healing in South Asia","218","001","","13","3.750","53.8","30.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Asia Enchanted","236","001","","18","3.588","50.0","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"God & Money","273","001","","13","3.462","53.8","30.8",".",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Religion in South Asia","274","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women, Gender and Religion","305","001","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"A Survey of Tibetan Buddhism","307","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supernat in the Modern World","326","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"King David","335","001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nordic Mythology","342","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","400","001","","13","3.577","61.5","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Meditation Buddhism & Hinduism","473","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","","17","3.882","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Research","799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
