"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills","111
001","477","3.775","83.2","8.4","1.9","2.5","0.8","0.8","2.1","0.2",".",".",".",".",".",".",".","."
"","175
001","196","3.849","81.1","12.8","1.0","1.5","0.5",".","1.0","2.0",".",".",".",".",".",".",".","."
"","175
002","199","3.788","76.4","14.1","4.5","2.0","1.5","0.5","0.5","0.5",".",".",".",".",".",".",".","."
"Intro to Consumer Finance","Course Total","395","3.818","78.7","13.4","2.8","1.8","1.0","0.3","0.8","1.3",".",".",".",".",".",".",".","."
"","201
001","76","3.849","77.6","15.8","5.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","77","3.513","22.1","61.0","11.7","3.9",".",".",".",".",".",".",".",".","1.3",".",".","."
"","201
003","80","3.706","70.0","17.5","5.0","3.8","1.3","2.5",".",".",".",".",".",".",".",".",".","."
"","201
004","75","3.700","61.3","29.3","1.3","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","201
104","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Insights","Course Total","311","3.695","58.2","30.5","5.8","3.2","1.3","0.6",".",".",".",".",".",".","0.3",".",".","."
"Retail Leadership Symposium","250
001","299","3.774","81.3","7.7","4.7","2.7","1.3","2.0","0.3",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","125","3.716","77.6","7.2","9.6","1.6","1.6",".","2.4",".",".",".",".",".",".",".",".","."
"","257
001","131","3.592","59.5","19.8","11.5","2.3","4.6","2.3",".",".",".",".",".",".",".",".",".","."
"","257
002","97","3.703","60.8","24.7","7.2","5.2","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"Introduction to Retail","Course Total","228","3.639","60.1","21.9","9.6","3.5","3.1","1.3",".",".",".",".",".",".","0.4",".",".","."
"Finances & Families","273
001","36","3.736","69.4","16.7","8.3","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"","275
001","71","3.472","38.0","43.7","9.9","2.8","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"","275
002","32","3.422","31.3","46.9","6.3","6.3","9.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Personal Fin Planning","Course Total","103","3.456","35.9","44.7","8.7","3.9","4.9",".","1.9",".",".",".",".",".",".",".",".","."
"","301
001","19","3.553","52.6","26.3","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","301
002","35","3.071","34.3","17.1","20.0","8.6","8.6","11.4",".",".",".",".",".",".",".",".",".","."
"Consumer Analytics","Course Total","54","3.241","40.7","20.4","14.8","9.3","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"Financial Assets & Capability","340
001","44","3.909","88.6","6.8","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","57","3.895","87.7","10.5",".",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"","355
002","53","3.830","86.8","5.7","3.8","1.9",".",".","1.9",".",".",".",".",".",".",".",".","."
"","355
003","58","3.974","96.6","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Coaching","Course Total","168","3.902","90.5","6.0","1.8","0.6",".","0.6","0.6",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","49","3.656","49.0","38.8","8.2",".",".","2.0",".",".",".",".",".",".","2.0",".",".","."
"Families & Poverty","465
001","22","3.750","72.7","4.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
001","41","3.451","41.5","39.0","9.8","2.4","2.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"","477
002","57","3.228","29.8","24.6","24.6","10.5","7.0","3.5",".",".",".",".",".",".",".",".",".","."
"","477
102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","99","3.323","34.3","31.3","18.2","7.1","5.1","3.0","1.0",".",".",".",".",".",".",".",".","."
"Special Topics","501
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","555
001","57","3.763","57.9","38.6","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","555
002","56","3.714","53.6","37.5","7.1","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","555
003","66","3.697","65.2","18.2","12.1","3.0",".","1.5",".",".",".",".",".",".",".",".",".","."
"","555
004","39","3.577","43.6","30.8","23.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","218","3.697","56.4","30.7","10.1","2.3",".","0.5",".",".",".",".",".",".",".",".",".","."
"","561
001","60","3.900","83.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
002","59","3.941","89.8","8.5","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 168 of 478",""
