"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Dept. Total
233
FINANCE","2620","3.450","36.6","22.4","20.4","4.2","2.9","1.2","0.1","0.1","",".","11.7","0.2","0.1","0.1","0.0",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Freshmen","54","",".",".",".",".",".",".",".",".","",".","100.0",".",".",".",".",".","."
"Sophomore","205","3.288","11.2","12.2","16.1","2.9","2.0","0.5",".",".","",".","54.6","0.5",".",".",".",".","."
"Junior","669","3.355","30.5","22.0","24.7","5.8","3.9","1.2","0.3",".","",".","11.5",".",".","0.1",".",".","."
"Senior","1154","3.421","37.0","23.9","23.5","4.7","3.4","1.6","0.1",".","",".","5.4","0.3",".","0.2",".",".","."
"Undergraduates","2082","3.392","31.4","21.5","22.5","4.8","3.3","1.3","0.1",".","",".","14.6","0.2",".","0.1",".",".","."
"Special","54","3.344","29.6","18.5","29.6","5.6","5.6",".",".","3.7","",".","3.7","1.9",".",".","1.9",".","."
"Graduate","484","3.711","59.9","26.4","10.1","1.4","0.8","0.6",".",".","",".",".",".","0.6",".",".",".","."
"Dept. Total","2620","3.450","36.6","22.4","20.4","4.2","2.9","1.2","0.1","0.1","",".","11.7","0.2","0.1","0.1","0.0",".","."
