"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"L&S","College Total","114496","3.443","51.8","17.0","13.6","5.2","5.2","1.8","0.9","2.4","0.0","1.1","0.0","0.4","0.3","0.1","0.2","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"L&S","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","17561","3.328","46.1","19.0","15.8","6.5","6.9","2.6","1.3","0.0",".","1.5","0.1",".","0.2","0.1",".","0.0"
"Sophomore","","28019","3.385","50.1","17.7","15.6","5.5","6.5","2.2","1.1","0.0",".","0.9","0.0",".","0.3","0.0",".","0.0"
"Junior","","26454","3.403","50.3","17.9","15.6","6.3","5.9","2.1","0.9","0.0",".","0.6","0.0","0.0","0.3","0.1","0.0","0.0"
"Senior","","28134","3.513","56.6","17.2","12.3","5.1","4.5","1.3","0.7","0.1",".","1.0","0.0","0.7","0.2","0.0","0.0","0.0"
"Undergraduates","","100168","3.413","51.3","17.8","14.7","5.8","5.9","2.0","1.0","0.0",".","1.0","0.0","0.2","0.3","0.0","0.0","0.0"
"Special","","2526","3.518","27.7","9.7","6.3","2.0","2.1","0.9","0.5","38.7",".","0.4",".",".","0.6","1.5","9.5","0.2"
"Graduate","","11832","3.797","60.9","11.5","5.7","0.8","0.5","0.1","0.1","14.5","0.0","2.3",".","2.5","0.8","0.1","0.3","0.0"
"Prof Yr 1","","63","3.860","84.1","9.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","89","3.937","91.0","5.6","2.2",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"Prof Yr 3","","63","3.953","90.5","3.2","1.6",".",".",".",".","3.2",".",".",".",".","1.6",".",".","."
"Prof Yr 4","","18","3.837","72.2","11.1",".","5.6",".",".",".",".",".","11.1",".",".",".",".",".","."
"Professionals","","233","3.915","87.6","6.4","3.0","0.4",".",".",".","1.3",".","0.9",".",".","0.4",".",".","."
"","College Total","114759","3.443","51.8","17.0","13.6","5.2","5.2","1.8","0.9","2.4","0.0","1.1","0.0","0.4","0.3","0.1","0.2","0.0"
