"","990
073","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
075","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
083","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","33","",".",".",".",".",".",".","",".","57.6","",".",".","",".","42.4","",".",".",".","."
"703
PATH-BIO","Dept. Total","1094","3.756","53.6","11.4","6.9","1.5","0.8","0.1","",".","24.3","",".",".","",".","1.3","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.824","92.9",".",".",".","7.1",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","22","3.902","81.8","9.1","4.5",".",".",".","",".",".","",".",".","",".",".","",".",".","4.5","."
"Junior","","22","3.422","63.6","9.1","18.2",".","9.1",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","44","3.392","63.6","2.3","22.7","2.3","6.8","2.3","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","102","3.559","71.6","4.9","14.7","1.0","5.9","1.0","",".",".","",".",".","",".",".","",".",".","1.0","."
"Special","","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","54","3.639","29.6","3.7","7.4",".",".",".","",".","35.2","",".",".","",".","24.1","",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","",".","",".","100.0","",".",".",".","."
"Prof Yr 2","","753","3.778","61.8","15.7","7.6","2.0","0.4",".","",".","12.6","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","94","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","85","4.000","32.9",".",".",".",".",".","",".","67.1","",".",".","",".",".","",".",".",".","."
"Professionals","","933","3.785","52.8","12.6","6.1","1.6","0.3",".","",".","26.4","",".",".","",".","0.1","",".",".",".","."
"","Dept. Total","1094","3.756","53.6","11.4","6.9","1.5","0.8","0.1","",".","24.3","",".",".","",".","1.3","",".",".","0.1","."
