"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"Real Estate Capital Markets","640
001","","30","3.621","36.7","46.7","13.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Green-Sustainable Development","651
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","35","3.429","45.7","22.9","14.3","5.7","11.4",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","16","3.375","31.3","31.3","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","","51","3.412","41.2","25.5","17.6","5.9","9.8",".",".",".",".",".",".",".",".",".",".","."
"","715
001","","31","3.677","54.8","32.3","9.7",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","715
002","","17","3.625","41.2","35.3","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Techniques-Real Est Valuatn","Course Total","","48","3.660","50.0","33.3","12.5",".","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"","720
001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
002","","22","3.545","54.5","27.3","13.6",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Urban Economics","Course Total","","42","3.738","71.4","19.0","7.1",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","","34","3.559","50.0","29.4","17.6",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Real Estate Law","760
001","","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","26","3.778","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied RE Investment I","841
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private RE Equity Investment 2","851
001","","32","3.641","46.9","34.4","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Urban Land Economics","875
001","","10","3.786","40.0","30.0",".",".",".",".",".","10.0",".",".",".",".","20.0",".",".","."
"Real Estate Research Seminar","978
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
218","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","","4","***","","","","","","","","","","","","","","","",""
