"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","54","3.713","64.8","24.1","7.4",".","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"","301
001","109","3.826","80.7","13.8","2.8","0.9",".","0.9","0.9",".",".",".",".",".",".",".",".","."
"","301
002","108","3.888","83.3","11.1","3.7",".","0.9",".",".",".",".",".",".",".","0.9",".",".","."
"","301
003","98","3.888","81.6","14.3","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"How People Learn","Course Total","333","3.873","82.9","12.3","3.3","0.3","0.3","0.3","0.3",".",".",".",".",".","0.3",".",".","."
"Human Dev-Infancy&Childhood","320
001","157","3.806","79.0","11.5","5.1","1.9","1.9","0.6",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","101","3.455","39.6","33.7","13.9","7.9","4.0",".","1.0",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","147","3.493","37.4","37.4","12.9","8.8","2.7",".",".",".",".",".",".",".","0.7",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","89","3.640","49.4","31.5","16.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","470
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
077","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thinking and Learning","501
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","506
009","28","3.946","96.4",".",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","59","3.932","93.2","3.4",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Thinking, Feeling, & Learning","533
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant&Qual Research Methods","560
001","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Instructional Design for LA","575
001","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Conversations & Visualizations","615
001","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","621
001","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","84","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Instruct Coaching","640
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
