"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"PUBLIC AFFAIRS & PUBLIC POLI Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
826
PUB AFFR","752","3.702","58.4","23.7","8.9","2.9","0.9","0.3","0.1","",".","",".","4.7","",".","",".","",".","0.1",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","37","3.473","35.1","35.1","21.6","5.4","2.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","112","3.616","49.1","33.0","11.6","4.5","1.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","163","3.676","54.6","30.7","11.0","1.8","0.6","0.6",".","",".","",".",".","",".","",".","",".","0.6",".","."
"Senior","216","3.757","65.7","21.3","8.8",".","0.5","0.5","0.5","",".","",".","2.8","",".","",".","",".",".",".","."
"Undergraduates","528","3.681","56.6","27.7","11.0","1.9","0.9","0.4","0.2","",".","",".","1.1","",".","",".","",".","0.2",".","."
"Special","6","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","207","3.751","61.8","14.5","4.3","5.3","1.0",".",".","",".","",".","13.0","",".","",".","",".",".",".","."
"Prof Yr 4","11","3.722","54.5","18.2",".","9.1",".",".",".","",".","",".","18.2","",".","",".","",".",".",".","."
"Professionals","11","3.722","54.5","18.2",".","9.1",".",".",".","",".","",".","18.2","",".","",".","",".",".",".","."
"Dept. Total","752","3.702","58.4","23.7","8.9","2.9","0.9","0.3","0.1","",".","",".","4.7","",".","",".","",".","0.1",".","."
