"ALS","","","","","","","","","","","","","","","","","","","","",""
"COMMUNITY & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
864
C&E SOC","208","3.687","64.9","17.3","7.2","3.4","2.4","0.5","",".","1.4","",".",".","",".","0.5","2.4",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","9","3.656","55.6","33.3",".","11.1",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","48","3.769","68.8","18.8","12.5",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","45","3.629","57.8","22.2","8.9","2.2","2.2","2.2","",".",".","",".",".","",".",".","4.4",".",".","."
"Senior","84","3.624","64.3","16.7","6.0","6.0","4.8",".","",".",".","",".",".","",".",".","2.4",".",".","."
"Undergraduates","186","3.668","63.4","19.4","8.1","3.8","2.7","0.5","",".",".","",".",".","",".",".","2.2",".",".","."
"Special","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","19","4.000","78.9",".",".",".",".",".","",".","10.5","",".",".","",".","5.3","5.3",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Dept. Total","208","3.687","64.9","17.3","7.2","3.4","2.4","0.5","",".","1.4","",".",".","",".","0.5","2.4",".",".","."
