"TERM : 1252","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2024-2025","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","GEOLOGICAL ENGINEERING","Section
#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"418","G L E","","","","","","","","","","","","","","","","","","","","","","","",""
"418","G L E","Dept. Total
67","3.678","49.3","19.4","4.5","",".","3.0","",".","",".","7.5","",".",".","",".","16.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"418","G L E","","","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","2","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
