"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"Fundamentals-Nuclear Engr
305","001","","40","3.286","30.0","15.0","27.5","10.0","2.5","2.5",".","12.5",".",".",".",".",".",".",".","."
"Nuclear Reactor Engineering
411","001","","17","3.029","17.6","23.5","41.2","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Nuclear Engr Materials
423","001","","27","3.315","18.5","51.9","18.5","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Nuclear Instrumentation Lab
427","001","","22","3.545","72.7","9.1",".","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory
428","001","","10","3.938","70.0","10.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Principles of Corrosion
433","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas
525","001","","16","2.938","12.5",".","68.8",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Power-Thermonuclear Fusion
536","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mat Degradation Adv Nuclr Reac
545","001","","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nuclear Power Engr
550","001","","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Power Plant Technology
565","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Reactor Theory
705","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Magnetohydrodynamics
726","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","17","",".",".",".",".",".",".",".","76.5","5.9",".",".","17.6",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","44","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
