"PATHO-BIOLOGICAL SCIENCES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"Topics & Careers in Vet Sci
150","001","","39","3.949","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HIV: Sex, Society and Science
210","001","","21","3.857","90.5",".","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Veterinary Immunology
510","001","","98","3.714","62.2","20.4","15.3","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Veterinary Epidemolgy
512","001","","94","3.723","60.6","26.6","10.6","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Virology
513","001","","94","3.590","52.1","24.5","14.9","6.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Bact & Mycology
517","001","","94","3.899","83.0","13.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Active, Integrated Learning I
525","001","","94","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immunology
528","001","","40","3.171","32.5","5.0","40.0","2.5","12.5","2.5",".","5.0",".",".",".",".",".",".",".","."
"Veterinary General Path
559","003","","94","3.910","86.2","9.6","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Systemic Path I
560","002","","94","3.622","50.0","30.9","12.8","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Necropsy Diag Pathology
660","001","","37","4.000","62.2",".",".",".",".",".",".","37.8",".",".",".",".",".",".",".","."
"675","002","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","003","","15","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"675","013","","188","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","234","4.000","1.7",".",".",".",".",".",".","98.3",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Advanced Seminar
930","012","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 472 of 478",""
