"PHYSICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"","407","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Laboratory","","Course Total","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415","001","","40","3.225","25.0","25.0","27.5","15.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448","001","","59","3.421","27.1","27.1","42.4",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","499","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","107","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","132","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","180","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","7","2.714","14.3",".","42.9",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Mechanics","531","001","","26","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Physics","551","001","","29","3.607","44.8","27.6","24.1",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Microscopy of Life","619","001","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Optics","625","001","","26","3.820","65.4","26.9","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701","001","","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","701","002","","39","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Introductory Seminars","","Course Total","","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantum Computing Laboratory","707","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Computing","709","001","","57","3.232","22.8","17.5","43.9","10.5","3.5",".",".","1.8",".",".",".",".",".",".",".","."
"Theoreticl Physics-Dynamics","711","001","","41","3.537","24.4","61.0","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Relativity","717","001","","14","3.667","57.1",".","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Theor Physics-Electrodynmcs","721","001","","28","3.321","21.4","28.6","46.4",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Plasma Magnetohydrodynamics","726","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantum Mechanics","731","001","","43","3.616","51.2","27.9","14.0","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"Particle Physics","735","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Waves","748","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Solid State Physics","751","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"High Energy Astrophysics","772","001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 326 of 478",""
