"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"115
001","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"115
002","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Grammar for Academic Use","34","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"116
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
004","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
005","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"116
007","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"116
009","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"116
010","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Acad Reading and Vocab Skills","97","",".",".",".",".",".",".",".",".",".","96.9","3.1",".",".",".",".","."
"117
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
003","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"117
004","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"117
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
006","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
008","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"117
009","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
011","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
012","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"117
013","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"117
014","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
017","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
019","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"Course Total
Academic Writing I","227","",".",".",".",".",".",".",".",".",".","96.5","3.5",".",".",".",".","."
"118
001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
002","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"118
003","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
005","16","3.656","87.5",".",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"118
006","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"118
007","16","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"118
010","11","3.500","63.6","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"118
012","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"118
014","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
015","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Academic Writing II","143","3.780","72.7","19.6","2.1","2.8",".",".","1.4",".",".",".",".",".","1.4",".",".","."
"343
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"343
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"343
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Oral Communication Skills","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
