"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Intro to SAS Prog for Pop Hlth
451","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health
502","001","","63","3.841","77.8","12.7","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth
551","002","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicology I
625","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
650","015","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth
651","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Translat'l & Outcomes Research
709","002","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrating Med and PH
712","001","","56","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conspiracies in Public Health
721","001","","39","",".",".",".",".",".",".",".","97.4",".",".",".",".",".",".","2.6","."
"Climate Change Medicine
728","009","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"PopHealth Determ and Disprties
752","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"797","005","","24","3.696","41.7","50.0","4.2",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"797","006","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","Course Total","","36","3.757","55.6","36.1","5.6",".",".",".",".",".",".",".",".",".",".",".","2.8","."
"Adv. Epi: Causal Inference
805","001","","6","3.667","33.3",".","16.7",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Graduate Research Seminar
820","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Economics
848","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Subst Use Rsrch Prev Pcy Trtmt
890","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","11","3.750","9.1","9.1",".",".",".",".",".","81.8",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 440 of 478",""
