"FOLKLORE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","","225","3.737","62.2","25.3","7.1","0.4",".","0.4","0.9","2.7",".",".",".",".","0.4",".",".","0.4"
"Intro-Mus Cult of the World","103
001","","67","3.522","64.2","6.0","19.4","3.0","4.5",".","3.0",".",".",".",".",".",".",".",".","."
"","210
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","","11","3.364","27.3","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","","11","3.500","54.5","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","210
006","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","","15","3.500","73.3","6.7","6.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","210
008","","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","","86","3.674","68.6","16.3","5.8","4.7","3.5",".","1.2",".",".",".",".",".",".",".",".","."
"The World of Sagas","235
001","","16","3.857","68.8","12.5","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Interm Topics in Folklore","315
001","","79","3.819","70.9","12.7","3.8","2.5","1.3",".",".",".",".",".",".",".","1.3","7.6",".","."
"Afro Asian Improv","319
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Supernat in the Modern World","326
001","","44","3.881","86.4",".","4.5","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Nordic Mythology","342
001","","30","3.438","16.7","43.3","13.3","6.7",".",".",".","10.0",".",".",".",".","6.7","3.3",".","."
"Topics American Folklore","430
001","","27","3.635","51.9","33.3",".","7.4","3.7",".",".",".",".",".",".",".",".",".","3.7","."
"Fld Mthd&Pub Presntn-Folklr","490
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Storytelling for Social Media","522
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Local Culture-Upper Midwest","540
001","","12","3.944","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".","25.0",".","."
"380
FOLKLORE","Dept. Total","","603","3.716","64.2","18.6","7.5","2.5","1.3","0.2","0.8","1.5",".",".",".",".","1.5","1.7","0.2","0.2"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","86","3.655","65.1","20.9","5.8","2.3",".",".","3.5",".",".",".",".",".","2.3",".",".","."
"Sophomore","","","167","3.742","69.5","16.8","7.8","1.2","1.2",".","1.2",".",".",".",".",".","1.8",".",".","0.6"
"Junior","","","145","3.755","69.7","19.3","6.2","2.1","2.8",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","176","3.696","61.9","19.9","9.7","4.0","1.1","0.6",".",".",".",".",".",".","2.3","0.6",".","."
"Undergraduates","","","574","3.718","66.6","19.0","7.7","2.4","1.4","0.2","0.9",".",".",".",".",".","1.6","0.2",".","0.2"
"Special","","","24","3.500","4.2","12.5","4.2",".",".",".",".","37.5",".",".",".",".",".","37.5","4.2","."
"Graduate","","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","","603","3.716","64.2","18.6","7.5","2.5","1.3","0.2","0.8","1.5",".",".",".",".","1.5","1.7","0.2","0.2"
